"","x"
"1991-01-17",-227099.999999997
"1991-01-29",4665765
"1991-02-11",-188159.999999999
"1991-02-19",-351487.500000001
"1991-02-22",-344850
"1991-02-28",-224985
"1991-03-01",962429.999999988
"1991-03-04",97859.9999999997
"1991-03-08",1004620
"1991-03-15",-944000
"1991-03-19",-584155.00000001
"1991-03-21",-96960.0000000001
"1991-04-01",-792965
"1991-04-02",55043.2000000001
"1991-04-04",1040147.5
"1991-04-09",-534445.000000001
"1991-04-12",-471040
"1991-04-19",-707849.999999997
"1991-04-22",-15759.9999999999
"1991-04-26",1009577.78121716
"1991-04-29",1373862.5
"1991-05-02",-481213.000000001
"1991-05-03",-754020
"1991-05-22",-1708920
"1991-05-23",149100.000000001
"1991-05-28",297600.000000004
"1991-06-05",326710.000000006
"1991-06-07",-658644.4
"1991-06-20",185076.000000001
"1991-06-26",-1220190
"1991-06-28",283119.999999999
"1991-07-03",-296741.337467382
"1991-07-05",-208219.999999998
"1991-07-15",289380.000000002
"1991-07-16",1143220
"1991-07-18",17260.0000000058
"1991-07-19",295589.999999999
"1991-07-22",-486255
"1991-07-23",-37120.000000001
"1991-07-24",-319372.5
"1991-08-19",-476539.870036578
"1991-08-21",730187.999999999
"1991-09-02",-230211.658351912
"1991-09-06",762960
"1991-09-13",-583205.000000002
"1991-09-17",-1304782.62551636
"1991-09-20",-34295.0000000002
"1991-09-24",-377359.999999999
"1991-09-25",145820.000000001
"1991-09-26",792360.000000004
"1991-10-09",288526.321810538
"1991-10-15",-185310
"1991-10-22",537048.75
"1991-10-23",-1174132.5
"1991-10-28",998595
"1991-11-07",446092.5
"1991-11-08",1367519.99999999
"1991-11-11",461999.999999996
"1991-11-13",-662400
"1991-11-15",-617140
"1991-11-20",-547305.000000001
"1991-11-26",32467.5
"1991-12-18",-481260
"1991-12-23",-1632870
"1991-12-30",-645888.307406
"1991-12-31",207965.195541804
"1992-01-09",310284.73727954
"1992-01-10",178172.5
"1992-01-13",1045957.5
"1992-01-15",6536779.99999999
"1992-01-20",362949.999999996
"1992-01-24",-676465.000000001
"1992-01-27",-912540
"1992-01-31",-344380
"1992-02-04",-673903.999999999
"1992-02-05",-467639.999999996
"1992-02-10",-694542.5
"1992-02-12",1326930
"1992-02-13",378087
"1992-03-04",-269694.12675148
"1992-03-05",-641590
"1992-03-06",1410240
"1992-03-25",1719610
"1992-03-27",-873120.000000003
"1992-03-30",-1099462.5
"1992-04-01",-387760
"1992-04-07",-288824.999999998
"1992-04-08",-28443.540840721
"1992-04-27",-16770.0000000018
"1992-05-06",-418550.000000001
"1992-05-12",-961027.5
"1992-05-14",-511980
"1992-05-20",78218.4000000001
"1992-05-21",-1720185.00000001
"1992-06-03",-627285
"1992-06-05",-744720
"1992-06-08",-958716.954111646
"1992-06-11",330599.999999999
"1992-06-12",574209.999999999
"1992-06-25",2536690
"1992-06-30",626420.599999995
"1992-07-02",-82529.9999999987
"1992-07-06",-417200
"1992-07-08",-803195.701260211
"1992-07-09",79870.846625
"1992-07-22",-318660
"1992-07-23",-37440.0000000071
"1992-07-24",1492800
"1992-07-28",-746010
"1992-08-03",1564097.5
"1992-08-06",-302505.000000001
"1992-08-17",-383070.000000001
"1992-08-19",1033140
"1992-08-21",-285181.792
"1992-08-24",-229490
"1992-08-25",3021650
"1992-09-03",-1603737.74626166
"1992-09-10",-824740.000000004
"1992-09-11",1087280
"1992-09-17",-1458830.69820803
"1992-09-18",472640
"1992-09-23",-537795
"1992-10-02",-930189.999999999
"1992-10-05",64530.0000000009
"1992-10-08",-410035
"1992-10-09",3115590
"1992-10-16",-580245
"1992-10-22",-1078590
"1992-10-27",-887110.000000004
"1992-11-03",-540850
"1992-11-05",-819660
"1992-11-11",245317.321599994
"1992-11-17",-234080
"1992-11-20",-612900
"1992-11-26",539515.126027765
"1992-11-27",-622217.731276302
"1992-12-04",338519.999999999
"1992-12-07",4087.49999999913
"1992-12-09",73609.9999999986
"1992-12-16",17480.000000001
"1992-12-21",1501480
"1992-12-30",-632995.335
"1993-01-04",-362537.5
"1993-01-07",-276360
"1993-01-11",-529760
"1993-01-12",28562.6142303101
"1993-01-25",-1669172.1
"1993-01-26",-410474.999999999
"1993-01-28",-268000
"1993-01-29",5240760
"1993-02-04",10139.9999999997
"1993-02-05",-569590
"1993-02-10",-649439.999999998
"1993-02-16",-524209.999999998
"1993-02-17",-263651.813462557
"1993-02-19",-2376050
"1993-02-22",198990
"1993-03-02",-443712.5
"1993-03-12",876071.25
"1993-03-15",3844800
"1993-03-17",-680000.000000001
"1993-03-18",-366220.000000001
"1993-03-22",-864986.205932089
"1993-03-23",11369655
"1993-03-26",461316.104701974
"1993-03-29",-823792.5
"1993-04-01",-639859.999999997
"1993-04-02",-491824.999999999
"1993-04-13",-865920
"1993-04-20",426482.574874993
"1993-04-23",-803455.778600406
"1993-05-04",-877239.999999999
"1993-05-10",256790.000000002
"1993-05-12",1354740
"1993-05-14",-328440.000000007
"1993-05-18",-416342.13885
"1993-06-01",47520
"1993-06-09",550470.000000001
"1993-06-11",1062990
"1993-06-16",-135080.000000002
"1993-06-18",532742.59119999
"1993-06-22",-496490.000000001
"1993-06-23",-657032.500000001
"1993-06-30",-946515
"1993-07-02",-817209.999999999
"1993-07-08",-499070.000000002
"1993-07-09",-360900
"1993-07-22",231525
"1993-07-23",-43056
"1993-07-28",2009060
"1993-07-29",-688414.848447487
"1993-08-05",-1290010
"1993-08-06",1312500
"1993-08-12",417936.200000002
"1993-08-18",-1095460
"1993-08-19",11310
"1993-09-10",-856950
"1993-09-13",420740.603506688
"1993-09-15",1688459.83005213
"1993-09-21",-706527.499999998
"1993-09-29",1620559.99999999
"1993-10-07",2311200
"1993-10-12",-667780
"1993-10-19",-386100.000000004
"1993-10-25",623092.5
"1993-11-01",-252540.000000017
"1993-11-04",-842080.000000001
"1993-11-05",-622974.580072992
"1993-11-10",-485815
"1993-11-18",45749.9999999995
"1993-11-22",-220679.999999999
"1993-11-24",2742080
"1993-12-01",881609.78434
"1993-12-03",-94710.0000000001
"1993-12-21",-716234.13754566
"1993-12-27",-290190
"1994-01-04",-621180
"1994-01-06",-192227.2
"1994-01-10",133341
"1994-01-13",-595940
"1994-01-14",768830.169562437
"1994-01-19",3832837.5
"1994-01-21",-1136460
"1994-01-26",297292.5
"1994-01-27",-602395.000000001
"1994-01-28",-444272.5
"1994-01-31",-622080
"1994-02-01",903840.000000001
"1994-02-03",-1019189.99999998
"1994-02-04",-264180.000000002
"1994-02-10",-381240
"1994-02-11",425926.068539904
"1994-02-23",-669750
"1994-03-02",1545240
"1994-03-24",-608721.1312
"1994-03-28",-124720
"1994-03-30",-575097.5
"1994-03-31",163932
"1994-04-04",-644680
"1994-04-05",2512335
"1994-04-11",-481000.000000001
"1994-04-13",714209.999999998
"1994-04-15",-501935.383109606
"1994-04-25",1645781.25
"1994-04-29",-648464
"1994-05-03",-531929.999999999
"1994-05-06",-321100.000000002
"1994-05-10",-1636290
"1994-05-12",-494893.002390315
"1994-05-16",754170
"1994-05-17",1028610.00000002
"1994-05-23",622160
"1994-06-03",-839058.005545195
"1994-06-07",-631341.599999999
"1994-06-10",1441238.98124998
"1994-06-13",1804960
"1994-06-21",-363185.752
"1994-06-23",307980.000000005
"1994-06-27",-724296.471599997
"1994-06-28",1612515
"1994-07-06",-359957.999999999
"1994-07-12",1065348.30772513
"1994-07-13",201897.694615699
"1994-07-15",-1453180
"1994-07-19",961859.999999999
"1994-07-20",716100.000000004
"1994-07-25",-801360
"1994-07-28",-20602.5
"1994-08-02",-545340
"1994-08-03",-1034595
"1994-08-05",-687077.599999998
"1994-08-10",1538600
"1994-08-29",-1460950
"1994-09-07",-307995.832573093
"1994-09-08",-764400.000000001
"1994-09-12",184564.999999999
"1994-09-30",508760
"1994-10-10",-520595.592231441
"1994-10-12",-594220.198954176
"1994-10-13",342620.000000001
"1994-10-18",379640
"1994-10-20",663920.000000004
"1994-10-26",1412550
"1994-11-02",-572281.6
"1994-11-07",-804640
"1994-11-09",713945.000000002
"1994-11-15",-395670
"1994-11-16",-813547.5
"1994-11-18",-436050
"1994-11-25",100845
"1994-12-02",46799.1297500105
"1994-12-08",810320
"1994-12-15",776580.000000007
"1994-12-19",-603200
"1994-12-20",-409531.220418907
"1994-12-21",-740125
"1994-12-28",-447019.999999998
"1994-12-30",-438668.199999999
"1995-01-03",-689312
"1995-01-06",706799.999999999
"1995-01-11",-725200
"1995-01-12",-869510
"1995-01-17",-807840.000000001
"1995-01-30",-801565.42
"1995-02-01",1336407.50000001
"1995-02-02",160739.999999995
"1995-02-06",-503757.36433284
"1995-02-24",-627325
"1995-03-01",-711480
"1995-03-06",-141910
"1995-03-07",-880320
"1995-03-10",1103780
"1995-03-13",-148995
"1995-03-16",171080.000000001
"1995-03-20",131040
"1995-03-24",4863300
"1995-03-28",1929531.156
"1995-04-05",-774630.000000003
"1995-04-12",-489321.75
"1995-04-17",-84105
"1995-04-19",-782395
"1995-04-21",-68050
"1995-04-26",663232.499999998
"1995-05-08",-771879.999999999
"1995-05-09",-793280
"1995-05-11",-484534.999999996
"1995-05-12",2605950.82439997
"1995-05-25",10860.0000000012
"1995-05-26",-616664.599999999
"1995-05-30",-732720
"1995-06-07",801569.999999992
"1995-06-09",4160857.23468851
"1995-06-22",2198086
"1995-06-23",301911.30475
"1995-06-26",2659220.76724624
"1995-06-30",-534630
"1995-07-06",-1383224.96
"1995-07-12",-428705
"1995-07-13",-515610
"1995-07-19",-698500
"1995-07-31",-1035055
"1995-08-02",-2398667
"1995-08-04",1440880
"1995-08-07",-705180
"1995-08-15",164106.31859998
"1995-08-17",-1026775
"1995-08-18",-375275
"1995-09-07",-359799.999999999
"1995-09-13",-511499.999999998
"1995-09-20",-74332.5000000007
"1995-09-21",1433187.35599999
"1995-09-25",138713.16274476
"1995-09-27",-115600.75006697
"1995-09-28",954100
"1995-10-06",-187565
"1995-10-11",-1191450
"1995-10-19",-674969.999999998
"1995-10-20",-1088320
"1995-10-26",4302572.49999999
"1995-10-27",-469437.577327731
"1995-11-01",-384299.999999999
"1995-11-09",-559480
"1995-11-10",-440039.999999997
"1995-11-15",950255
"1995-11-16",-778050.000000001
"1995-11-28",-550399.999999999
"1995-12-01",1841127.84479999
"1995-12-11",139200
"1995-12-18",344835
"1995-12-19",-173810.630194706
"1995-12-22",2204280
"1995-12-28",91120.0000000001
"1996-01-02",-597380
"1996-01-03",-156537.446625109
"1996-01-04",-900900
"1996-01-05",2038597.5
"1996-01-08",1670815
