,cum_pnl,max_pnl,drawdown
9/3/1999,165423487.3,166415222.9,991735.625
9/7/1999,165008567.3,166415222.9,1406655.625
9/8/1999,164602814.8,166415222.9,1812408.125
9/21/1999,163643884.8,166415222.9,2771338.125
9/30/1999,164737984.8,166415222.9,1677238.125
10/6/1999,165382474.8,166415222.9,1032748.125
10/7/1999,166306124.4,166415222.9,109098.525
10/8/1999,165568551.9,166415222.9,846671.025
10/14/1999,164701201.9,166415222.9,1714021.025
10/15/1999,164273701.9,166415222.9,2141521.025
10/19/1999,163971101.9,166415222.9,2444121.025
10/22/1999,162778039.8,166415222.9,3637183.142
10/26/1999,162011469.8,166415222.9,4403753.142
10/27/1999,161778506.8,166415222.9,4636716.142
10/28/1999,161018737.9,166415222.9,5396485.014
10/29/1999,159514330.4,166415222.9,6900892.542
11/4/1999,158945189.9,166415222.9,7470032.953
11/24/1999,159222389.9,166415222.9,7192832.953
11/30/1999,158981937.7,166415222.9,7433285.153
12/9/1999,158499099.2,166415222.9,7916123.73
12/13/1999,157797099.2,166415222.9,8618123.73
12/23/1999,157545399.2,166415222.9,8869823.73
1/4/2000,159409469.2,166415222.9,7005753.73
1/5/2000,157557345.2,166415222.9,8857877.664
1/6/2000,157679445.2,166415222.9,8735777.664
1/7/2000,157008445.2,166415222.9,9406777.664
1/10/2000,157489385.2,166415222.9,8925837.664
1/12/2000,157081250.2,166415222.9,9333972.664
1/18/2000,156391330.2,166415222.9,10023892.66
1/19/2000,156678925.2,166415222.9,9736297.664
1/20/2000,155867725.2,166415222.9,10547497.66
1/25/2000,154951495.1,166415222.9,11463727.82
1/26/2000,154657735.1,166415222.9,11757487.82
1/28/2000,153951235.1,166415222.9,12463987.82
2/3/2000,154033121,166415222.9,12382101.88
2/14/2000,153780781,166415222.9,12634441.88
2/18/2000,155162431,166415222.9,11252791.88
2/22/2000,154228551.5,166415222.9,12186671.38
2/23/2000,164888851.5,166415222.9,1526371.379
2/24/2000,165150811.5,166415222.9,1264411.379
3/1/2000,164846586.5,166415222.9,1568636.379
3/6/2000,163873079,166415222.9,2542143.879
3/8/2000,165208919,166415222.9,1206303.879
3/13/2000,165086439.5,166415222.9,1328783.401
3/14/2000,166089932.3,166415222.9,325290.6006
3/17/2000,165490852.3,166415222.9,924370.6006
3/21/2000,164891035.5,166415222.9,1524187.363
3/23/2000,164609710.5,166415222.9,1805512.363
3/28/2000,163947970.5,166415222.9,2467252.363
4/3/2000,164245450.5,166415222.9,2169772.363
4/5/2000,163537281.4,166415222.9,2877941.487
4/14/2000,162156473.3,166415222.9,4258749.625
4/25/2000,161818223.3,166415222.9,4596999.625
4/27/2000,161069670.8,166415222.9,5345552.125
5/3/2000,160574310.8,166415222.9,5840912.125
5/5/2000,162248540.8,166415222.9,4166682.125
5/9/2000,161855840.8,166415222.9,4559382.125
5/16/2000,161023000.8,166415222.9,5392222.125
5/25/2000,160804840.8,166415222.9,5610382.125
5/26/2000,159723174.6,166415222.9,6692048.312
5/30/2000,162273150.1,166415222.9,4142072.812
6/1/2000,161848680.4,166415222.9,4566542.514
6/2/2000,160622305.6,166415222.9,5792917.322
6/6/2000,159571595.6,166415222.9,6843627.322
6/7/2000,162450035.6,166415222.9,3965187.322
6/14/2000,161494791.4,166415222.9,4920431.48
7/10/2000,161609331.4,166415222.9,4805891.48
7/14/2000,160508419.2,166415222.9,5906803.737
7/17/2000,160301419.2,166415222.9,6113803.737
7/19/2000,159509899.2,166415222.9,6905323.737
